1320,730,1306,2110,340,426,268,962,106,392,1548
1318,724,1304,2106,334,424,266,960,112,390,1546
1324,720,1302,2108,334,424,266,964,114,394,1552
1322,726,1306,2104,340,424,274,962,120,398,1548
1322,724,1302,2106,340,420,272,962,110,392,1546
1324,724,1312,2104,338,426,270,964,116,390,1552
1328,724,1302,2112,334,428,270,968,116,388,1552
1326,728,1308,2106,336,424,272,964,110,394,1550
1326,724,1304,2098,340,418,266,964,114,390,1548
1324,724,1304,2108,338,430,264,962,110,390,1546
1326,718,1310,2104,334,426,272,968,110,392,1550
1328,720,1306,2108,338,430,264,976,116,392,1550
1322,724,1306,2106,330,428,266,968,120,390,1554
1326,724,1304,2108,336,430,272,966,114,392,1550
1322,724,1300,2106,332,424,268,968,114,388,1554
1326,722,1304,2108,328,424,268,964,110,396,1552
1320,728,1310,2102,336,428,262,966,118,392,1560
1318,720,1306,2104,340,422,268,958,114,388,1554
1322,724,1304,2102,332,424,266,964,120,392,1560
1318,724,1304,2104,330,422,264,968,120,386,1560
1320,728,1310,2106,330,422,262,958,114,390,1558
1324,728,1302,2106,336,418,264,960,118,386,1558
1324,720,1308,2108,334,426,262,962,114,388,1554
1322,728,1308,2110,334,422,272,960,114,390,1558
1324,722,1310,2108,332,428,266,960,112,394,1564
1322,718,1300,2104,334,426,260,954,110,386,1550
1328,726,1308,2104,334,428,266,960,108,390,1560
1326,724,1304,2102,336,424,262,960,104,382,1556
1328,728,1308,2106,332,424,262,958,104,384,1560
1326,722,1306,2110,330,418,260,954,108,386,1554
1328,728,1304,2110,332,422,264,956,112,388,1558
1324,722,1304,2098,330,424,270,960,112,378,1548
1322,722,1308,2108,336,424,266,960,110,384,1556
1326,724,1308,2106,340,422,266,956,104,386,1556
1318,720,1308,2100,334,422,258,958,114,384,1554
1326,718,1302,2106,334,424,256,958,104,376,1554
1322,726,1306,2102,330,432,260,954,108,382,1558
1326,720,1308,2110,330,422,260,960,108,384,1554
1320,724,1306,2106,338,424,266,956,106,390,1554
1332,722,1308,2108,330,424,262,956,104,382,1554
1324,716,1304,2102,330,418,262,958,106,386,1558
1324,716,1304,2106,334,418,262,956,114,386,1556
1322,722,1308,2104,336,424,258,954,108,390,1556
1332,720,1308,2108,334,426,260,954,116,388,1554
1324,722,1310,2104,334,426,264,954,108,382,1558
1322,724,1304,2098,324,424,264,954,104,392,1558
1324,718,1308,2104,332,424,264,958,108,392,1554
1320,724,1310,2106,336,422,266,958,114,382,1556
